Declarative benchmark summary
Run: 30245512580  Commit: 54cea7a
Base URL: https://us.api.konghq.com
Suite: 5m10.279s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      885ms      6      6      0
small-single-file        apply_noop       1     1     2      559ms      4      4      0
small-single-file        apply_create     2     1     2      796ms      6      6      0
small-single-file        apply_noop       2     1     2      544ms      4      4      0
small-single-file        apply_create     3     1     2      767ms      6      6      0
small-single-file        apply_noop       3     1     2      567ms      4      4      0
small-multi-file         apply_create     1     1     2      815ms      6      6      0
small-multi-file         apply_noop       1     1     2      553ms      4      4      0
small-multi-file         apply_create     2     1     2      828ms      6      6      0
small-multi-file         apply_noop       2     1     2      552ms      4      4      0
small-multi-file         apply_create     3     1     2      767ms      6      6      0
small-multi-file         apply_noop       3     1     2      560ms      4      4      0
medium-single-file       apply_create     1     5    25     2.327s     41     41      0
medium-single-file       apply_noop       1     5    25     3.089s     31     31      0
medium-single-file       apply_create     2     5    25     2.303s     41     41      0
medium-single-file       apply_noop       2     5    25     2.985s     31     31      0
medium-single-file       apply_create     3     5    25     2.166s     41     41      0
medium-single-file       apply_noop       3     5    25     2.981s     31     31      0
medium-multi-file        apply_create     1     5    25     2.222s     41     41      0
medium-multi-file        apply_noop       1     5    25     2.984s     31     31      0
medium-multi-file        apply_create     2     5    25     2.245s     41     41      0
medium-multi-file        apply_noop       2     5    25     2.997s     31     31      0
medium-multi-file        apply_create     3     5    25     2.262s     41     41      0
medium-multi-file        apply_noop       3     5    25     3.024s     31     31      0
