Declarative benchmark summary
Run: 30336635837  Commit: 8fc0fe4
Base URL: https://us.api.konghq.com
Suite: 4m34.858s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      539ms      6      6      0
small-single-file        apply_noop       1     1     2      317ms      4      4      0
small-single-file        apply_create     2     1     2      527ms      6      6      0
small-single-file        apply_noop       2     1     2      310ms      4      4      0
small-single-file        apply_create     3     1     2      581ms      6      6      0
small-single-file        apply_noop       3     1     2      357ms      4      4      0
small-multi-file         apply_create     1     1     2      549ms      6      6      0
small-multi-file         apply_noop       1     1     2      308ms      4      4      0
small-multi-file         apply_create     2     1     2      501ms      6      6      0
small-multi-file         apply_noop       2     1     2      313ms      4      4      0
small-multi-file         apply_create     3     1     2      555ms      6      6      0
small-multi-file         apply_noop       3     1     2      319ms      4      4      0
medium-single-file       apply_create     1     5    25     1.433s     41     41      0
medium-single-file       apply_noop       1     5    25     1.652s     31     31      0
medium-single-file       apply_create     2     5    25      1.47s     41     41      0
medium-single-file       apply_noop       2     5    25     1.656s     31     31      0
medium-single-file       apply_create     3     5    25      1.47s     41     41      0
medium-single-file       apply_noop       3     5    25     1.667s     31     31      0
medium-multi-file        apply_create     1     5    25     1.523s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.671s     31     31      0
medium-multi-file        apply_create     2     5    25     1.398s     41     41      0
medium-multi-file        apply_noop       2     5    25     1.637s     31     31      0
medium-multi-file        apply_create     3     5    25     1.441s     41     41      0
medium-multi-file        apply_noop       3     5    25     1.708s     31     31      0
