Declarative benchmark summary
Run: 30521337674  Commit: 9461f03
Base URL: https://us.api.konghq.com
Suite: 4m39.546s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      900ms      6      6      0
small-single-file        apply_noop       1     1     2      411ms      4      4      0
small-single-file        apply_create     2     1     2      652ms      6      6      0
small-single-file        apply_noop       2     1     2      409ms      4      4      0
small-single-file        apply_create     3     1     2      704ms      6      6      0
small-single-file        apply_noop       3     1     2      321ms      4      4      0
small-multi-file         apply_create     1     1     2      524ms      6      6      0
small-multi-file         apply_noop       1     1     2      399ms      4      4      0
small-multi-file         apply_create     2     1     2      534ms      6      6      0
small-multi-file         apply_noop       2     1     2      306ms      4      4      0
small-multi-file         apply_create     3     1     2      681ms      6      6      0
small-multi-file         apply_noop       3     1     2      414ms      4      4      0
medium-single-file       apply_create     1     5    25     1.766s     41     41      0
medium-single-file       apply_noop       1     5    25     1.673s     31     31      0
medium-single-file       apply_create     2     5    25      1.42s     41     41      0
medium-single-file       apply_noop       2     5    25     1.585s     31     31      0
medium-single-file       apply_create     3     5    25     1.781s     41     41      0
medium-single-file       apply_noop       3     5    25     2.214s     31     31      0
medium-multi-file        apply_create     1     5    25     1.793s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.538s     31     31      0
medium-multi-file        apply_create     2     5    25     1.406s     41     41      0
medium-multi-file        apply_noop       2     5    25     2.214s     31     31      0
medium-multi-file        apply_create     3     5    25     1.713s     41     41      0
medium-multi-file        apply_noop       3     5    25     2.102s     31     31      0
