Declarative benchmark summary
Run: 30688489241  Commit: 7d16225
Base URL: https://us.api.konghq.com
Suite: 14m40.97s  Cases: 12  Phases: 24  Requests: 9624  Responses: 9624  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
large-single-file        apply_create     1    20   160     9.999s    221    221      0
large-single-file        apply_noop       1    20   160    16.923s    181    181      0
large-single-file        apply_create     2    20   160    10.135s    221    221      0
large-single-file        apply_noop       2    20   160    15.952s    181    181      0
large-single-file        apply_create     3    20   160     9.731s    221    221      0
large-single-file        apply_noop       3    20   160     16.14s    181    181      0
large-multi-file         apply_create     1    20   160    10.319s    221    221      0
large-multi-file         apply_noop       1    20   160     17.12s    181    181      0
large-multi-file         apply_create     2    20   160     9.886s    221    221      0
large-multi-file         apply_noop       2    20   160    17.115s    181    181      0
large-multi-file         apply_create     3    20   160     9.603s    221    221      0
large-multi-file         apply_noop       3    20   160    15.584s    181    181      0
xl-single-file           apply_create     1    50   500    27.202s    651    651      0
xl-single-file           apply_noop       1    50   500    48.907s    551    551      0
xl-single-file           apply_create     2    50   500    27.065s    651    651      0
xl-single-file           apply_noop       2    50   500    52.115s    551    551      0
xl-single-file           apply_create     3    50   500    27.428s    651    651      0
xl-single-file           apply_noop       3    50   500    49.053s    551    551      0
xl-multi-file            apply_create     1    50   500    28.261s    651    651      0
xl-multi-file            apply_noop       1    50   500    48.864s    551    551      0
xl-multi-file            apply_create     2    50   500    26.894s    651    651      0
xl-multi-file            apply_noop       2    50   500      49.3s    551    551      0
xl-multi-file            apply_create     3    50   500    28.341s    651    651      0
xl-multi-file            apply_noop       3    50   500    51.879s    551    551      0
