Declarative benchmark summary
Run: 30885921922  Commit: 934f1c5
Base URL: https://us.api.konghq.com
Suite: 4m33.516s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      771ms      6      6      0
small-single-file        apply_noop       1     1     2      444ms      4      4      0
small-single-file        apply_create     2     1     2      637ms      6      6      0
small-single-file        apply_noop       2     1     2      404ms      4      4      0
small-single-file        apply_create     3     1     2      605ms      6      6      0
small-single-file        apply_noop       3     1     2      440ms      4      4      0
small-multi-file         apply_create     1     1     2      594ms      6      6      0
small-multi-file         apply_noop       1     1     2      424ms      4      4      0
small-multi-file         apply_create     2     1     2      583ms      6      6      0
small-multi-file         apply_noop       2     1     2      412ms      4      4      0
small-multi-file         apply_create     3     1     2      517ms      6      6      0
small-multi-file         apply_noop       3     1     2      394ms      4      4      0
medium-single-file       apply_create     1     5    25     1.644s     41     41      0
medium-single-file       apply_noop       1     5    25     1.383s     31     31      0
medium-single-file       apply_create     2     5    25     1.572s     41     41      0
medium-single-file       apply_noop       2     5    25     1.694s     31     31      0
medium-single-file       apply_create     3     5    25     1.567s     41     41      0
medium-single-file       apply_noop       3     5    25     1.366s     31     31      0
medium-multi-file        apply_create     1     5    25     1.472s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.693s     31     31      0
medium-multi-file        apply_create     2     5    25     1.539s     41     41      0
medium-multi-file        apply_noop       2     5    25     1.371s     31     31      0
medium-multi-file        apply_create     3     5    25     1.482s     41     41      0
medium-multi-file        apply_noop       3     5    25     1.788s     31     31      0
