Declarative benchmark summary
Run: 30983272999  Commit: 693ce96
Base URL: https://us.api.konghq.com
Suite: 4m40.33s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      651ms      6      6      0
small-single-file        apply_noop       1     1     2      419ms      4      4      0
small-single-file        apply_create     2     1     2      685ms      6      6      0
small-single-file        apply_noop       2     1     2      391ms      4      4      0
small-single-file        apply_create     3     1     2      616ms      6      6      0
small-single-file        apply_noop       3     1     2      397ms      4      4      0
small-multi-file         apply_create     1     1     2      664ms      6      6      0
small-multi-file         apply_noop       1     1     2      385ms      4      4      0
small-multi-file         apply_create     2     1     2      611ms      6      6      0
small-multi-file         apply_noop       2     1     2      417ms      4      4      0
small-multi-file         apply_create     3     1     2      709ms      6      6      0
small-multi-file         apply_noop       3     1     2      439ms      4      4      0
medium-single-file       apply_create     1     5    25     1.501s     41     41      0
medium-single-file       apply_noop       1     5    25     1.724s     31     31      0
medium-single-file       apply_create     2     5    25     1.585s     41     41      0
medium-single-file       apply_noop       2     5    25     1.811s     31     31      0
medium-single-file       apply_create     3     5    25     1.629s     41     41      0
medium-single-file       apply_noop       3     5    25     1.804s     31     31      0
medium-multi-file        apply_create     1     5    25      1.53s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.716s     31     31      0
medium-multi-file        apply_create     2     5    25      1.59s     41     41      0
medium-multi-file        apply_noop       2     5    25     1.784s     31     31      0
medium-multi-file        apply_create     3     5    25     1.568s     41     41      0
medium-multi-file        apply_noop       3     5    25      1.76s     31     31      0
