Declarative benchmark summary
Run: 31079215178  Commit: 1f0a5df
Base URL: https://us.api.konghq.com
Suite: 4m33.356s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      729ms      6      6      0
small-single-file        apply_noop       1     1     2      527ms      4      4      0
small-single-file        apply_create     2     1     2      699ms      6      6      0
small-single-file        apply_noop       2     1     2      404ms      4      4      0
small-single-file        apply_create     3     1     2      654ms      6      6      0
small-single-file        apply_noop       3     1     2      420ms      4      4      0
small-multi-file         apply_create     1     1     2      611ms      6      6      0
small-multi-file         apply_noop       1     1     2      405ms      4      4      0
small-multi-file         apply_create     2     1     2      604ms      6      6      0
small-multi-file         apply_noop       2     1     2      396ms      4      4      0
small-multi-file         apply_create     3     1     2      577ms      6      6      0
small-multi-file         apply_noop       3     1     2      406ms      4      4      0
medium-single-file       apply_create     1     5    25     1.525s     41     41      0
medium-single-file       apply_noop       1     5    25     1.635s     31     31      0
medium-single-file       apply_create     2     5    25     1.479s     41     41      0
medium-single-file       apply_noop       2     5    25     1.645s     31     31      0
medium-single-file       apply_create     3     5    25     1.665s     41     41      0
medium-single-file       apply_noop       3     5    25     1.584s     31     31      0
medium-multi-file        apply_create     1     5    25     1.481s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.564s     31     31      0
medium-multi-file        apply_create     2     5    25     1.543s     41     41      0
medium-multi-file        apply_noop       2     5    25     1.872s     31     31      0
medium-multi-file        apply_create     3     5    25     1.896s     41     41      0
medium-multi-file        apply_noop       3     5    25     1.654s     31     31      0
