Declarative benchmark summary
Run: 31243451472  Commit: 4c91afc
Base URL: https://us.api.konghq.com
Suite: 14m47.988s  Cases: 12  Phases: 24  Requests: 9624  Responses: 9624  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
large-single-file        apply_create     1    20   160     9.589s    221    221      0
large-single-file        apply_noop       1    20   160    14.286s    181    181      0
large-single-file        apply_create     2    20   160     8.918s    221    221      0
large-single-file        apply_noop       2    20   160    15.435s    181    181      0
large-single-file        apply_create     3    20   160     9.386s    221    221      0
large-single-file        apply_noop       3    20   160    15.261s    181    181      0
large-multi-file         apply_create     1    20   160     9.586s    221    221      0
large-multi-file         apply_noop       1    20   160    15.445s    181    181      0
large-multi-file         apply_create     2    20   160     9.577s    221    221      0
large-multi-file         apply_noop       2    20   160    15.473s    181    181      0
large-multi-file         apply_create     3    20   160     8.924s    221    221      0
large-multi-file         apply_noop       3    20   160    15.183s    181    181      0
xl-single-file           apply_create     1    50   500    26.894s    651    651      0
xl-single-file           apply_noop       1    50   500    47.445s    551    551      0
xl-single-file           apply_create     2    50   500     25.22s    651    651      0
xl-single-file           apply_noop       2    50   500    47.575s    551    551      0
xl-single-file           apply_create     3    50   500    24.916s    651    651      0
xl-single-file           apply_noop       3    50   500    47.155s    551    551      0
xl-multi-file            apply_create     1    50   500    26.771s    651    651      0
xl-multi-file            apply_noop       1    50   500    47.283s    551    551      0
xl-multi-file            apply_create     2    50   500    26.531s    651    651      0
xl-multi-file            apply_noop       2    50   500    47.049s    551    551      0
xl-multi-file            apply_create     3    50   500    24.721s    651    651      0
xl-multi-file            apply_noop       3    50   500    46.288s    551    551      0
