Declarative benchmark summary
Run: 31298588908  Commit: 4c91afc
Base URL: https://us.api.konghq.com
Suite: 4m29.091s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      981ms      6      6      0
small-single-file        apply_noop       1     1     2      620ms      4      4      0
small-single-file        apply_create     2     1     2      941ms      6      6      0
small-single-file        apply_noop       2     1     2      603ms      4      4      0
small-single-file        apply_create     3     1     2      917ms      6      6      0
small-single-file        apply_noop       3     1     2      596ms      4      4      0
small-multi-file         apply_create     1     1     2      902ms      6      6      0
small-multi-file         apply_noop       1     1     2      625ms      4      4      0
small-multi-file         apply_create     2     1     2      923ms      6      6      0
small-multi-file         apply_noop       2     1     2      639ms      4      4      0
small-multi-file         apply_create     3     1     2      873ms      6      6      0
small-multi-file         apply_noop       3     1     2      634ms      4      4      0
medium-single-file       apply_create     1     5    25     2.167s     41     41      0
medium-single-file       apply_noop       1     5    25      2.84s     31     31      0
medium-single-file       apply_create     2     5    25     2.202s     41     41      0
medium-single-file       apply_noop       2     5    25     2.956s     31     31      0
medium-single-file       apply_create     3     5    25     2.237s     41     41      0
medium-single-file       apply_noop       3     5    25     3.003s     31     31      0
medium-multi-file        apply_create     1     5    25     2.317s     41     41      0
medium-multi-file        apply_noop       1     5    25     2.914s     31     31      0
medium-multi-file        apply_create     2     5    25     2.276s     41     41      0
medium-multi-file        apply_noop       2     5    25     2.827s     31     31      0
medium-multi-file        apply_create     3     5    25     2.188s     41     41      0
medium-multi-file        apply_noop       3     5    25     2.952s     31     31      0
