Declarative benchmark summary
Run: 31570452384  Commit: e9b8f0b
Base URL: https://us.api.konghq.com
Suite: 5m20.239s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2     1.058s      6      6      0
small-single-file        apply_noop       1     1     2      819ms      4      4      0
small-single-file        apply_create     2     1     2     1.024s      6      6      0
small-single-file        apply_noop       2     1     2      680ms      4      4      0
small-single-file        apply_create     3     1     2     1.004s      6      6      0
small-single-file        apply_noop       3     1     2      706ms      4      4      0
small-multi-file         apply_create     1     1     2      904ms      6      6      0
small-multi-file         apply_noop       1     1     2      688ms      4      4      0
small-multi-file         apply_create     2     1     2      879ms      6      6      0
small-multi-file         apply_noop       2     1     2      715ms      4      4      0
small-multi-file         apply_create     3     1     2      942ms      6      6      0
small-multi-file         apply_noop       3     1     2      699ms      4      4      0
medium-single-file       apply_create     1     5    25     2.376s     41     41      0
medium-single-file       apply_noop       1     5    25     3.222s     31     31      0
medium-single-file       apply_create     2     5    25     2.294s     41     41      0
medium-single-file       apply_noop       2     5    25     3.311s     31     31      0
medium-single-file       apply_create     3     5    25     2.275s     41     41      0
medium-single-file       apply_noop       3     5    25     3.103s     31     31      0
medium-multi-file        apply_create     1     5    25     2.383s     41     41      0
medium-multi-file        apply_noop       1     5    25     3.111s     31     31      0
medium-multi-file        apply_create     2     5    25     2.256s     41     41      0
medium-multi-file        apply_noop       2     5    25     2.992s     31     31      0
medium-multi-file        apply_create     3     5    25     2.278s     41     41      0
medium-multi-file        apply_noop       3     5    25     3.002s     31     31      0
